id	Q_chn	open	Q	Time	Interp_chn	A_chn	A	Interp	Primary_id	Alter_id	Day_Stem
12	一妇测其丈夫何日出狱？	1	A woman asked when her husband would be released from prison.	丁亥年丙子月丙申日	丈夫克世，但丑土为狱之象，官鬼申支持世，卦中有卯未子午辰，必用寅救灾之兆。	此卦说明不急，等待六日，看丙午日有消息。丈夫大概率两日内出狱，或晚上也可能获释。	This hexagram suggests not to rush, wait for six days, and observe for news on the bingwu day. The husband is highly likely to be released from prison within two days, or he might also be released at night.	The husband controls the world, but the soil of Chou represents the image of imprisonment. Demons of Shen support the world. Within the hexagram, there are Mao, Wei, Zi, Wu, and Chen. This definitely indicates a sign of using Yin to rescue from disaster.	12	23	bing
13	测求财何时得利？	1	When will financial gain be realized?	甲戌年丁巳月甲子日	求财以财爻为用，世爻临财卯，世爻合月用财；空文生克间，可得收益，但非丰厚。	主卦求财带辛苦，暗示需关注兄弟持世，避免分争之象。吉利之兆。	The primary hexagram indicates that seeking wealth involves hardship, suggesting attention should be paid to the Sibling ruling the oracle to avoid signs of dispute. An auspicious omen.	To seek wealth, take the wealth line as the useful aspect, where the self line is financial and associated with mao, the self line combines with the month using wealth; amidst the hollow text of birth and control, gains can be achieved, but they are not plentiful.	22	53	jia
15	典铺经营情况如何？	1	How is the performance of the pawnshop business?	甲申年乙亥月丙午日	世爻日辰被冲，财爻不稳，典铺经营需谨慎，短期内不可久。	世爻逢冲，财爻受克，整体呈现短期不利，宜调整策略。	The moving line encounters a clash, and the wealth line suffers detriment, indicating an overall short-term disadvantage. It is advisable to adjust the strategy.	The line of the world is clashed by the day's branch, the wealth line is unstable, business operations need caution, and it should not be prolonged in the short term.	34	21	bing
18	扬州汉墓的神秘现象，有游客拿相机进行拍摄时，通过相机看到很奇怪的现象，女人在相机里看到的只是一个透明的，模糊轮廓。甚至可以通过她的身体看到身后的扶栏，拍出来的照片也是一样的情景。更奇怪的是让一男人站在同样的地方，透过相机看到的却是正常的景象，当时扬州电视台也向外界发布消息，请求合理的解释。	1	The mysterious phenomenon at the Yangzhou Han tomb has been intriguing. When tourists used their cameras to take pictures, they observed very strange occurrences through the lens. A woman saw only a transparent, blurred outline of herself in the camera. It was to the extent that one could see the railing behind her through her body. The photos taken also showed the same scene. Even more curious, when a man stood in the exact same spot, the view through the camera appeared normal. At that time, Yangzhou TV station also issued an announcement seeking a reasonable explanation.	丙戌年丙申月己丑日	从卦上来看，父母子水独发可以表示原因，在六爻主天，水可以理解成空气里的水分，临勾陈为停留，合日上财主女性，父母又是信息，所以才有那样的现象，应该是光线和空气里水分产生的反映。	现象不是永久性的，现在没有了。	Phenomena are not permanent; they are now gone.	From the hexagram's perspective, the presence of the Parents element as the sole active water can represent the cause. In the six lines, it represents the heavens, where water can be understood as moisture in the air. Positioned with Hook Snake, it signifies staying in place and aligns with the day’s wealth element representing females. Parents also symbolize information, thereby explaining such a phenomenon, which should be a reflection created by light and moisture in the air.	48	57	ji
19	自占用药金溃肾气丸调养身体是否可以？	0	"Is it feasible to use the prescription of ""Gold Dissolving Kidney Qi Pills"" for self-divination to regulate and nourish the body?"	丙戌年丙申月壬辰日	医药以应为用神，但也看世爻动静变化，这个卦世独发化巳火已绝论，吃这个药会使自己上火，口干舌燥，下肢没有力气，效果不好。	独发看象，如果再有一个动爻就是论化回头生了。	Look at the image of a solitary activation. If there is another moving line, it is discussed as a transformation returning to engendering.	Medicine is considered the useful spirit, but one should also observe the movement and changes of the principal line in the hexagram. In this hexagram, the principle line transforms into fire which is already in its declining cycle. Taking this medicine may cause one to become irritable, with a dry mouth and tongue, weak lower limbs, and poor effectiveness.	40	16	ren
20	我妻在外县租的服装摊位最近生意一直不太好，她摇了一卦看何时有转机。	1	My wife, who rents a clothing stall in a county outside, has been experiencing poor business recently. She consulted an I Ching hexagram to see when there might be a change for the better.	丙戌年乙未月戊午日	此卦为一爻独发，财虽然得月合日扶为旺相，但动爻酉金为财爻死地，独发以十二长生“象”为主来判断，所以财运一定不好，而世临兄弟，是自己的运气不好，而不是店的风水或者经营方式不对，这样的卦化解起来难度太大。	是自己的运气不好，而不是店的风水或者经营方式不对，这样的卦化解起来难度太大。	It is one's own bad luck, rather than the shop's feng shui or management method being incorrect; such hexagrams are exceedingly difficult to resolve.	This hexagram involves a single moving line. Although the finances are supported by the month and day, indicating a prosperous state, the moving line of you gold is in a death position for the financial line. The judgment is primarily based on the imagery of the twelve stages of growth, so financial fortune is certainly not good. The world at the sibling position indicates that one's own luck is poor, rather than issues with the store's feng shui or business methods. Resolving such a hexagram is highly challenging.	49	55	wu
21	正吃的中草药对身体有利吗？	0	Is the traditional Chinese medicine being consumed beneficial to the body?	丙戌年丙申月壬辰日	这个卦世临月日生动化进神过旺，世得月扶日生，又自动化进，六爻暗动来生，二爻元神，初有化出元神，用神元神得七个。	应该属于过旺。	Should belong to excessive abundance.	This hexagram has the Subject line supported by the moon and activated by the day, transforming into an advancing spirit that is overly strong. The Subject line is supported by the moon and activated by the day, additionally transforming into an advancing state. The six yao (lines) are secretly activated to provide further support. The second yao is the original spirit, initially emerging as the original spirit. The use of the original spirit results in a total of seven original spirits being obtained.	55	31	ren
23	一女问是否该跟他的男友表示要复合？	0	A woman asks if she should express to her boyfriend the desire to reconcile.	丙戌年丙申月丙申日	这卦官鬼日扶月扶，原神妻财与土又动化回头生，忌神午火不上卦。我断是过旺，不过世爻又为官鬼之墓库，这代表他这次行动会彻底终止这段感情。	这个卦可以从两个角度看，官是过旺，独发入墓也是一个依据，所以两人复合的可能性很小。	This hexagram can be viewed from two perspectives: the Demons are excessively strong, and the sole entry into the tomb is also a basis for this, so the possibility of the two people reconciling is very small.	This hexagram indicates that the Demons are supported by both the day and the month. The original spirit, Wife and Wealth, and soil, transforms to return and generate. The unfavorable spirit, fire of Wu, does not appear in the hexagram. I conclude that it is excessively prosperous, but the world line is also the tomb and treasury of the Demons. This suggests that this action will completely terminate this relationship.	46	32	bing
24	朋友的手机出门掉了，他最后一次是在别人家接的，占是否能找回？	0	A friend's phone was lost when they went out. The last time he used it was at someone else's house. Divined whether it can be retrieved?	丙戌年丙申月辛卯日	手机以妻财为用神，我看伏于世下，应该是找的回。。原来断已日，应兄弟冲开之日。了。	用伏世下，就在身边，得日生为吉，二爻为宅，三爻为卧室，房间。	Utilizing the concealed line, it is nearby. Gaining birth on the day is auspicious. The second line represents the house, and the third line represents the bedroom, the room.	The mobile phone takes Wife and Wealth as the useful spirit. I see it hiding under the world, it should be recoverable. Originally, it was judged that it would be restored on the day ruled by the Sibling conflict.	63	43	xin
25	父母感情走向	1	The emotional direction of Parents	丙戌年丙申月乙亥日	父母旺相，现在应该没有大的问题，但五爻父母独发化绝，发展下去则不利，有离异的可能。	母亲心在外在他处，对家不是很关心，月上元神是母，冲破二爻，可以说明对家庭责任心不强。	The mother's heart is elsewhere, not very concerned about the home. The month has the original spirit as the mother, breaking through the second line, which can indicate a weak sense of responsibility towards the family.	Parents are prosperous and favorable, so there should be no major issues at present. However, with the fifth line showing an isolated and transformed Parents leading to exhaustion, continued development in this direction would be unfavorable, and there is a possibility of separation.	27	42	yi
26	看是否可做项某投资？	0	Can the certain investment in item be made?	丙戌年丙申月甲午日	"世爻酉金得月扶日克，为旺。代理新产品实质为求财，取财爻为用神。卦中财爻临土，申月休囚，幸得日建之生，为旺。财生官鬼世爻，当为易于求财。卦中有三个财爻，上六戌财临应生世，可理解为所代理产品对己有利；初爻丑财化子水父母为合，贪合忘生，但幸得日建午火冲开子丑之合，丑财又可生世爻，且爻临青龙，更吉；三爻为酉金世爻化辰土财库又化合，可理解为我遇到财，即得财，但甲午旬辰巳空，世爻化空是什么含义，我想不清楚。卦中兄弟寅木为忌神，月破又伏藏于父母亥水之下，不能危害用神。二爻父母亥水动化合，贪合忘克，不耗泄世爻，亦不克害财之原神午火。卦变六冲，恐好事逢冲而散
总体来看，仍以吉断"	世动化财回头生合，财得日生可求，但空，不是马上见效益，卦变六冲，是表示不会永久做下去，总体看有利，但利不大。	The line representing the self moves and transforms into wealth, is regenerated and combined. The wealth is nourished by the day, making it possible to seek profit, but it is empty, indicating that immediate benefits are not seen. The hexagram changes to the six clashes, which indicates it will not be permanent. Overall, it appears beneficial, but the benefit is not great.	"The ruling line, You gold, is assisted by the month and controlled by the day, signifying prosperity. Representing new products essentially seeks wealth; hence, the wealth line acts as the useful spirit. Within the hexagram, the wealth line is associated with soil, which is dormant during the Shen month but fortunately revived by the establishment day, indicating prosperity. Wealth generates Demons in the ruling line, making the pursuit of wealth easier. There are three wealth lines in the hexagram: the top six wealth in Xu is at the response line, creating prosperity; this can be understood as the product being advantageous to oneself. The initial line represents Chou wealth transforming into Zi water Parents, forming a union driven by greed, but with the help of the establishment day, Wu fire breaks the union of Zi and Chou, allowing Chou wealth to nourish the ruling line. Moreover, this line is associated with the Azure Dragon, further enhancing auspiciousness. The third line, representing You gold's ruling line, transforms into Chen soil's wealth treasury, indicating that encountering wealth leads to obtaining it. However, in the Jiawu period, Chen and Si are empty; what does it imply when the ruling line transforms into emptiness? I am unclear. In the hexagram, the Sibling Yin wood acts as the harmful spirit, but it's broken and hidden under Parents Hai water, unable to harm the useful spirit. In the second line, Parents Hai water moves to form a union, driven by greed, forgetting to control and neither consuming nor depleting the ruling line, nor harming the original spirit of wealth, Wu fire. The hexagram changes into a six-conflict pattern, fearing that good fortune might disperse when faced with clashes. 

Overall, it is still interpreted as auspicious."	32	51	jia
27	某公司工程师说要买新设备是真的吗？	0	Is it true that an engineer at a certain company said they want to buy new equipment?	丙戌年乙未月戊午日辛酉时	"
设备销售以财为用，卦中财休囚不上卦，父兄同动，求财如缘木求鱼。
合同用初爻父母辰土代表，旺相发动但化空破，难以成事。"	实际反馈为后来主动收到5000元修理费，并签订新设备购买合同。	The actual feedback was later proactively receiving 5000 yuan for repair costs and signing a new equipment purchase contract.	The sale of equipment relies on wealth being useful, yet wealth within the hexagram is in a state of rest and does not appear in the hexagram, with parents and siblings both active, seeking wealth is like climbing a tree to find fish. The contract is represented by the first line of the Parents, Chen soil, which is vigorous and actively moving but transforms into emptiness and destruction, making it difficult to accomplish.	41	43	xin
28	毕业证不见了，能找到吗？	0	The graduation certificate is lost, can it be found?	壬辰年癸卯月壬申日	"
伏于世爻下，表示找回机会大。
妻财空亡，需耐心等待时机。"	最终在家中不显眼的角落找到毕业证。	Finally, the graduation certificate was found in an inconspicuous corner of the house.	Hidden beneath the world line, it indicates a great opportunity for retrieval. Wife and Wealth in emptiness and death, patience is required to await the opportunity.	48	46	ren
