id	Q_chn	Q	Time	Interp_chn	A_chn	A	Interp	Primary_id	Alter_id	Day_Stem
10	毕业证不见了，能找到吗？	My diploma is missing, can I find it?	壬辰年癸卯月壬申日	"
伏于世爻下，表示找回机会大。
妻财空亡，需耐心等待时机。"	最终在家中不显眼的角落找到毕业证。	Finally, I found my diploma in an inconspicuous corner of my home. 	"Lying down under the world's Yao means that there is a good chance of retrieval.
The wife's wealth is empty, so she needs to wait patiently for the opportunity."	48.0	46.0	ren
11	是否可以顺利通过面试？	Can I successfully pass the interview?	壬辰年乙巳月乙亥日	"
卦象显示兄弟午火旺动，克制用神官鬼。
显示竞争激烈，难以通过。"	实际反馈未通过。	Actual feedback failed. 	"The hexagram shows that the brother's noon fire is strong, and the gods and ghosts are restrained.
Show competition is fierce and difficult to pass."	30.0	6.0	yi
12	爱人何时回家？	When will your lover come home?	丙戌年乙未月丙辰日癸巳时	"
世爻亥水旺象，临日建而动，回归时间应在申月。
世临日辰，生合，显示其愿意回归。"	最终反馈爱人在申月第七天返回。	The final feedback is that the lover will return on the seventh day of Shen month.	"The water in Shiyaohai is very strong, and it is built on the day of the sun. The return time should be in the Shen month.
When the world comes, the sun and the hour are combined, it shows that it is willing to return."	13.0	37.0	gui
13	失物是否能找回？	Can lost items be found?	壬辰年戊午月庚子日	"
用神父母爻临日建而静，失物尚未离家，需细致查找。
财爻在卦象中不显，建议耐心等待消息。"	失物次日被邻居送回，因遗落在门外。	The lost property was returned by the neighbor the next day because it was left outside the door.	"Use the words of God's parents to build it and be quiet. The lost items have not left home and need to be searched carefully.
Wealth Yao does not appear in the hexagram, so it is recommended to wait patiently for news."	48.0	26.0	geng
14	考试能否顺利通过？	Can I pass the exam successfully?	甲午年丁巳月辛酉日	"
子孙爻旺相而化退，显示考试存在一定挑战，但努力可成。
世爻得财爻相生，显示测者有较大希望顺利通过。"	最终反馈成绩合格，通过考试。	The final feedback result is satisfactory and the student passes the exam.	"The descendants are prosperous and fade away, indicating that there are certain challenges in the exam, but it can be achieved with hard work.
The world Yao and the Wealth Yao are intertwined, indicating that the person who takes the test has a greater chance of successfully passing the test."	37.0	24.0	xin
15	何时能收到重要文件？	When will I receive important documents?	癸巳年甲申月乙亥日	"
文件以父母爻为用神，旺动，且临月日建，显示不久便能收到。
世爻临官鬼，提示需注意相关流程。"	反馈文件于次日午时送达。	The feedback document was delivered at noon the next day. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The document uses the parents' line as its main symbol, which means it will move vigorously, and it will be built on the lunar month and day, indicating that it will be received soon.
Shiyao is approaching the demons, reminding you to pay attention to the relevant procedures."	59.0	44.0	yi
16	我和朋友之间的误会能否解决？	Can the misunderstanding between my friend and I be resolved?	丙辰年乙未月甲申日癸酉时	"
世爻得日建相生，显示测者意愿强烈。
用神兄弟爻化吉，暗示双方和解可能性较大。"	反馈双方已和解，误会成功解除。	It was reported that both parties had reconciled and the misunderstanding was successfully resolved. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"Shi Yao gets the daily construction and mutual growth, which shows that the tester has a strong will.
Using the god brother's line to turn it into auspiciousness implies that reconciliation between the two parties is more likely."	40.0	42.0	gui
17	生意不顺，何时能好转？	Business is not going well, when will it get better?	戊辰年壬午月甲子日	"
财爻辰土临世旺动，显示测者近期多劳心，回报不足。
需待月令变动时，财爻得到日建之扶，生意才有转机。"	反馈申月中旬生意开始好转，收入增加。	Feedback: Business started to improve in mid-month and income increased. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The fortune-telling element, Chen-Tu, is in full swing, indicating that the person has worked hard recently and received insufficient returns.
It is necessary to wait for the monthly order to change and Cai Yao to receive support from Japan before the business can turn around."	28.0	30.0	jia
18	孩子学习成绩能否提高？	Can children's academic performance improve?	癸巳年乙未月甲申日	"
子孙爻化吉，显示学业有提升的潜力。
财爻旺相临应，暗示需额外投入资源，才能达到预期目标。"	反馈成绩有所进步，但仍需长期努力。	Feedback shows that performance has improved, but long-term efforts are still needed. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"Descendants become auspicious, showing the potential for academic improvement.
The arrival of prosperity in wealth indicates that additional resources need to be invested in order to achieve the desired goals."	9.0	31.0	jia
19	是否适合换工作？	Is it suitable to change jobs?	辛卯年壬辰月庚寅日	"
官爻旺动克世，显示当前工作压力大且发展受限。
财爻化进神，暗示新工作有更好机会。"	反馈换岗后工作满意，收入稳定增长。	Feedback is that after the job change, the job is satisfactory and the income has increased steadily. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The official line is prosperous, indicating that the current work pressure is high and development is limited.
Wealth Yao transforms into the spirit, suggesting better opportunities in new jobs."	35.0	36.0	geng
20	合伙投资能否顺利？	Can partnership investment go smoothly?	壬辰年甲午月己未日	"
财爻旺而化进神，显示投资项目有稳定回报。
兄弟爻旺动，提醒需注意合伙人的利益协调。"	反馈项目成功，但中途因分红问题产生分歧，后解决。	Feedback: The project was successful, but disagreements arose midway over the issue of dividends, which were later resolved. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The wealth line is prosperous and transformed into the spirit, indicating that investment projects have stable returns.
Brothers are in a strong mood, reminding you to pay attention to the coordination of interests of partners."	50.0	48.0	ji
21	是否能找到合适的租房？	Can you find a suitable rental?	庚辰年丙午月乙丑日	"
父母爻旺动，显示租房需求明确。
世爻静而得日扶，暗示适合的租房将有缘分找到。"	反馈最终在酉月找到满意住所。	Feedback Finally, I found a satisfactory residence in Youyue. ?(A large collection of six-line hexagrams from famous masters, 47)	"Parents are active, indicating clear demand for rental housing.
The world is quiet and the day is supported, indicating that a suitable rental house will be found by fate."	39.0	41.0	yi
22	远方朋友的货物是否顺利送达？	Did the goods from distant friends arrive smoothly?	癸未年戊申月乙卯日	"
官鬼爻化回头生，显示途中虽有波折，但整体顺利。
世爻静而临旺月，代表测者心态较为平和。"	反馈货物于第二天顺利送达，无损坏。?	Feedback was that the goods were delivered smoothly the next day without damage. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The transformation of officials and ghosts into reincarnations shows that although there were twists and turns along the way, the overall situation was smooth.
The world is quiet and the prosperous moon is approaching, which means that the tester has a peaceful mentality."	40.0	57.0	yi
23	弟弟的官司能否胜诉？	Can my brother win his lawsuit?	壬辰年甲申月戊戌日	"
官鬼爻旺动克世，显示诉讼有较大难度。
世爻静而化退，代表测者或家人难以掌控局势。"	反馈官司最终和解，未能完全胜诉。	The feedback lawsuit was eventually settled, but the case was not completely won. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The demons line is very prosperous, indicating that litigation is more difficult.
The world is quiet and disappearing, which means that the person or family members have difficulty controlling the situation."	6.0	44.0	wu
24	是否适合近期投资股票？	Is it suitable to invest in stocks in the near future?	乙未年壬辰月庚寅日	"
财爻临月建而旺，但受兄弟爻克制，显示市场波动大。
建议观望，不宜急于行动。"	反馈近期投资亏损，决定暂停操作。	Feedback about recent investment losses, decided to suspend operations. ?(A large collection of six-line hexagrams from famous masters, 47)	"The financial line is built and prosperous in the last month, but it is restrained by the brother lines, which shows that the market is volatile.
It is recommended to wait and see and not to act hastily."	29.0	33.0	geng
25	母亲身体健康是否有大碍？	Is the mother's health in serious condition?	癸巳年丙午月乙酉日	"
用神父母爻化旺，但遇日破，显示身体有轻微问题。
世爻得月扶，暗示不影响整体健康。"	反馈母亲因腰部不适就诊，恢复较快。?(六爻实战卦100例2)	Feedback was given that the mother went to the doctor due to waist discomfort and recovered quickly. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"If you use the divine parent Yao to turn into a prosperous person, but if it breaks down when encountering the sun, it shows that there is a slight health problem.
Shi Yao is supported by the moon, implying that it will not affect overall health."	58.0	39.0	yi
26	今年的财运是否顺利？	Will your financial fortune be good this year?	乙未年丙申月壬戌日	"
财爻不现，兄弟爻旺动，显示今年财运压力较大。
需控制支出，避免过度投资。"	反馈年中财运低迷，但年底逐渐改善。?(六爻实战卦100例2)	Feedback: Financial luck is sluggish in the middle of the year, but gradually improves at the end of the year. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"If the money line does not appear, but the brother line is active, it indicates that the financial pressure will be greater this year.
Spending needs to be controlled and over-investment avoided."	12.0	16.0	ren
27	能否顺利找到新工作？	Can you successfully find a new job?	辛卯年癸未月壬午日	"
官爻旺动，显示求职积极，且有较大机会。
财爻化退，暗示薪资水平可能不及预期。"	反馈找到工作，但起薪低，决定暂时接受。?(六爻实战卦100例2)	Feedback: I found a job, but the starting salary was low, so I decided to accept it temporarily. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The official line is prosperous, indicating that you are active in job hunting and have greater opportunities.
The financial situation has receded, suggesting that salary levels may not be as good as expected."	14.0	18.0	ren
28	朋友之间的合作能否继续？	Can collaboration between friends continue?	甲申年乙未月庚寅日	"
兄弟爻旺动，与财爻冲克，显示合作中可能存在分歧。
世爻临财爻生扶，显示测者希望继续合作。"	反馈合作暂时搁置，需调整关系后再行动。?(六爻实战卦100例2)	Feedback cooperation is temporarily put on hold and needs to be adjusted before taking action. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The brother line is strong and in conflict with the wealth line, indicating that there may be differences in cooperation.
When the world is close to the money, the fortune is supported, it shows that the tester hopes to continue cooperation."	51.0	20.0	geng
29	求测婚姻是否稳定？	Want to test whether your marriage is stable?	戊辰年癸巳月乙亥日	"
妻财旺动，显示夫妻感情较好。
世爻得兄弟爻生扶，暗示家中有压力，但可克服。"	反馈夫妻感情稳定，家庭和谐。?(六爻名家卦例大收集47)	Feedback is that the couple's relationship is stable and the family is harmonious. ?(A large collection of six-line hexagrams from famous masters, 47)	"The wife's wealth is prosperous, indicating that the relationship between the couple is good.
Shi Yao is supported by his brother Yao, indicating that there is pressure in the family, but it can be overcome."	37.0	22.0	yi
30	公司能否顺利完成融资？	Can the company successfully complete financing?	丙戌年乙未月丁酉日	"
财爻未土旺动，显示资金需求明确，但兄弟爻化退，表示执行力不足。
世爻静，得月建相生，显示融资进程缓慢但有望达成。"	反馈融资成功，但过程耗时较长，最终符合预期。?(六爻实战卦100例2)	Feedback was that the financing was successful, but the process took a long time and was ultimately in line with expectations. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The financial line is not prosperous, indicating a clear need for funds, but the brother line has faded, indicating insufficient execution.
The world is quiet and the moon is building, indicating that the financing process is slow but is expected to be achieved."	43.0	17.0	ding
31	家中遗失的贵重物品是否能找到？	Can valuables missing from your home be found?	壬辰年己巳月乙卯日	"
用神伏于世爻，显示物品尚未离家，但隐藏较深。
财爻不现，暗示需仔细回忆最后使用位置。"	反馈最终在车库发现遗失物品。?(六爻实战卦100例2)	Feedback eventually resulted in a missing item found in the garage. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"Use the gods to hide in the world, indicating that the items have not left home, but are hidden deeply.
The money line does not appear, suggesting that you need to carefully recall the last used location."	23.0	16.0	yi
32	远方亲戚何时到访？	When will distant relatives arrive?	癸未年丙午月甲子日	"
世爻静而化退，显示测者焦虑情绪较强。
父母爻临日建动，暗示亲戚路途中稍有耽搁。"	反馈亲戚于申时到访，稍晚于预期。?(六爻实战卦100例2)	Feedback: Relatives arrived at the time of application, which was slightly later than expected. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The world is quiet and subsides, indicating that the examinee has strong anxiety.
The parents' lines are moved on the day of the day, indicating that relatives will be slightly delayed on their way."	12.0	30.0	jia
33	孩子能否考上理想的学校？	Can the child get into the ideal school?	乙未年壬申月甲戌日	"
子孙爻旺动，显示学业基础扎实，有较大希望。
官鬼爻临应爻生世，代表测者对子女学业寄予厚望。"	反馈最终考上目标学校，但成绩略低于预期。?(六爻名家卦例大收集47)	Feedback: I was finally admitted to the target school, but my grades were slightly lower than expected. ?(A large collection of six-line hexagrams from famous masters, 47)	"The children and grandchildren are prosperous, indicating a solid academic foundation and great hope.
The demons Yao comes to Ying Yao's birth, which represents the tester's high hopes for their children's studies."	9.0	42.0	jia
34	是否适合近期搬迁？	Is it suitable for recent relocation?	甲申年乙未月戊申日	"
用神父母爻化空，显示搬迁时机尚未成熟。
财爻旺相，表示新环境有利于事业发展。"	反馈搬迁后适应良好，但过程稍显繁琐。?(六爻实战卦100例2)	Feedback: I have adapted well after the move, but the process is a bit cumbersome. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"Using the god's parents' line to dissolve the void indicates that the time for relocation is not yet ripe.
The wealth element is prosperous, indicating that the new environment is conducive to career development."	40.0	41.0	wu
35	是否可以顺利签订合作协议？	Can the cooperation agreement be signed smoothly?	庚辰年壬午月辛亥日	"
财爻旺动化进，显示合作项目潜力大。
世爻得应爻相助，暗示双方利益一致，合作顺利。"	反馈协议成功签订，合作关系稳定。?(六爻实战卦100例2)	The feedback agreement was successfully signed and the cooperative relationship was stable. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The wealth will be prosperous and dynamic, indicating great potential for cooperation projects.
Shi Yao received Ying Yao's help, implying that both parties had consistent interests and smooth cooperation."	22.0	33.0	xin
36	父亲近期的健康状况如何？	How is your father's health recently?	癸巳年甲午月乙亥日	"
父母爻旺动，但化退，显示健康有小波动。
世爻静，得日扶，表示测者无需过度担心。"	反馈父亲因感冒就诊，恢复较快。?(六爻名家卦例大收集47)	Feedback that my father went to the hospital for a cold and recovered quickly. ?(A large collection of six-line hexagrams from famous masters, 47)	"The parents' Yao is active but fades away, indicating slight fluctuations in health.
If the world is quiet and supported by the sun, it means that the tester does not need to worry too much."	25.0	26.0	yi
37	问儿子工作是否能稳定？	Asked my son if his job would be stable?	壬辰年癸巳月丁酉日	"
官鬼爻旺动，代表工作有一定压力，但总体可控。
世爻静而临旺月，显示测者对儿子工作比较满意。"	反馈儿子工作稳定，但需要努力适应新的环境。?(六爻实战卦100例2)	Feedback: My son’s job is stable, but he needs to work hard to adapt to the new environment. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The official and ghost lines are vigorously moving, which means there is a certain amount of pressure at work, but the overall situation is controllable.
The world is quiet and the strong moon is approaching, which shows that the person is quite satisfied with his son's work."	32.0	19.0	ding
38	是否能成功争取到升职机会？	Can you successfully obtain promotion opportunities?	丙辰年甲子月庚午日	"
官鬼爻旺动生世，显示领导对测者有认可。
财爻静而化进，显示升职有希望，但需要耐心。"	反馈升职机会虽有，但因名额限制未能成功。?(六爻实战卦100例2)	Feedback: Although there were opportunities for promotion, they were not successful due to quota restrictions. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The demons line is prosperous in life, which shows that the leader recognizes the tester.
The financial line is quiet and evolving, indicating that there is hope for promotion, but patience is required."	11.0	13.0	geng
39	家中矛盾是否能化解？	Can conflicts at home be resolved?	癸未年壬申月乙卯日	"
世爻旺动，显示测者愿意解决问题。
用神兄弟爻化进，显示矛盾源于沟通不足，但可调和。"	反馈家庭问题逐渐缓解，气氛恢复平和。?(六爻实战卦100例2)	Feedback: Family problems gradually eased and the atmosphere returned to peace. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The world is full of movement, showing that the tester is willing to solve problems.
Using the god brother line to transform into progress shows that conflicts arise from insufficient communication, but they can be reconciled."	38.0	37.0	yi
40	是否能顺利支付房款？	Can I pay the house payment smoothly?	辛卯年癸未月乙酉日	"
财爻旺动且临世爻，显示支付能力充足。
世爻化回头生，暗示测者对后续流程有些担忧，但问题不大。"	反馈房款顺利支付，手续办理无阻。?(六爻实战卦100例2)	Feedback that the room payment was made smoothly and the procedures were handled without any hindrance. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The wealth line is prosperous and comes to the world, indicating sufficient ability to pay.
Shi Yao Hua turns back to life, suggesting that the tester is a little worried about the follow-up process, but the problem is not serious."	45.0	44.0	yi
41	朋友是否会履行承诺？	Will friends keep their promises?	甲午年壬申月庚戌日	"
用神兄弟爻化退，显示朋友可能因客观原因未能完全履行承诺。
世爻旺而得应爻扶，暗示测者愿意给予更多耐心。"	反馈朋友延迟兑现承诺，但最终如约完成。?(六爻名家卦例大收集47)	Feedback from a friend that he delayed fulfilling his promise, but eventually completed it as promised. ?(A large collection of six-line hexagrams from famous masters, 47)	"Use the god brother line to retreat, indicating that the friend may not be able to fully fulfill the promise due to objective reasons.
If the world is prosperous and the person is supported, it means that the tester is willing to be more patient."	20.0	40.0	geng
42	今年是否适合买房？	Is it a good year to buy a house?	癸巳年甲申月乙未日	"
财爻旺而化吉，显示市场环境适合购房。
世爻静，提示测者需考虑长远计划，避免仓促决策。"	反馈年末购房，房源和价格均较满意。?(六爻实战卦100例2)	Feedback: I purchased a house at the end of the year and was satisfied with both the property supply and the price. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The money line is prosperous and turns into good luck, indicating that the market environment is suitable for home purchase.
Shi Yaojing reminds test takers to consider long-term plans and avoid hasty decisions."	14.0	15.0	yi
43	家中的宠物是否能找回？	Can pets at home be recovered?	甲申年癸未月庚寅日	"
子孙爻旺动，显示宠物尚在附近。
世爻临财爻生扶，暗示测者需积极寻找。"	反馈宠物两天后在邻居家找到。?(六爻实战卦100例2)	Reportedly, the pet was found at a neighbor’s house two days later. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The children and grandchildren move vigorously, indicating that the pet is still nearby.
When the world is close to wealth, the person will be supported, suggesting that the tester needs to actively search for it."	18.0	19.0	geng
44	是否适合和对方合作？	Is it suitable to cooperate with the other party?	辛卯年甲午月乙丑日	"
财爻旺而化进，显示合作具有潜力。
兄弟爻化退，暗示需要明确分工，避免利益冲突。"	反馈合作初期顺利，但中途出现小摩擦，后调整解决。?(六爻实战卦100例2)	Feedback: The cooperation went smoothly in the early stage, but small frictions occurred in the middle, which were later adjusted and resolved. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The money line is prosperous and advanced, showing the potential for cooperation.
The dissolution of brotherhood implies the need for a clear division of labor to avoid conflicts of interest."	21.0	22.0	yi
45	未来一年财运是否有突破？	Will there be a breakthrough in wealth luck in the coming year?	丙戌年壬午月辛未日	"
财爻旺动化进，显示有较好的财运机会。
世爻旺相而生用神，暗示测者在财运突破上需积极努力。"	反馈年初财运一般，年中获得投资回报，收入大增。?(六爻名家卦例大收集47)	Feedback: Financial luck is average at the beginning of the year, investment returns will be obtained in the middle of the year, and income will increase significantly. ?(A large collection of six-line hexagrams from famous masters, 47)	"The wealth line is prosperous and dynamic, indicating better financial luck opportunities.
The prosperous appearance of Shi Yao and the birth of Yong Shen imply that the tester needs to actively work hard to achieve a breakthrough in financial luck."	34.0	36.0	xin
46	是否能与家人和解？	Can you reconcile with your family?	癸巳年乙未月甲戌日	"
兄弟爻旺动生世，显示家人之间的感情可逐步修复。
世爻得月扶，暗示和解需要时间，但总体可成。"	反馈家庭关系逐渐缓解，双方重新建立信任。?(六爻实战卦100例2)	Feedback: The family relationship gradually eased and trust was re-established on both sides. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"Brothers are prosperous throughout their lives, showing that the relationship between family members can be gradually restored.
Shi Yao is supported by the moon, which implies that reconciliation will take time, but overall it can be achieved."	37.0	41.0	jia
