id	open	Q	A	Interp	Primary_id	Alter_id	Day_Stem	A_length	Day_Branch	Month_Branch
35	1	Business is not going well; when will it improve?	Business began to improve in mid-month of the Shen period, with an increase in income.	The line of Wife and Wealth in the branch of chen soil is positioned at the center and is active, indicating that the inquirer has been mentally exhausted recently with insufficient returns. There needs to be a change in the monthly order; only when the line of Wife and Wealth receives support from the day's structure will there be a turnaround in business.	28	30	jia	86.0	zi	wu
36	0	Can the child's academic performance improve?	Feedback indicates some progress, but long-term effort is still needed.	The Children line transforms favorably, indicating the potential for improvement in academic pursuits. The Wife and Wealth line being strong and applicable to the context suggests that additional resources are needed to achieve the desired goals.	9	31	jia	71.0	shen	wei
37	0	Is it suitable to change jobs?	After changing positions, work satisfaction improved and income steadily increased.	The Demons line is strong and moves to counter the self, indicating current work pressure is high and development is limited. The Wife and Wealth line transforms into advancement, suggesting better opportunities in a new job.	35	36	geng	83.0	yin	chen
38	0	Can a partnership investment proceed smoothly?	The feedback project was successful, but disagreements arose midway due to bonus distribution issues, which were later resolved.	The Wife and Wealth line is prosperous and transforms into advancing spirits, indicating that the investment projects have stable returns. The Sibling line is active and flourishing, reminding to pay attention to the interest coordination of partners.	50	48	ji	128.0	wei	wu
39	0	Can a suitable rental be found?	The feedback ultimately found a satisfactory residence in the month of You.	The Parents line is prospering and moving, indicating a clear need for renting a house. The current line is stable and receives support, suggesting that a suitable rental will serendipitously be found.	39	41	yi	75.0	chou	wu
40	0	Will the goods from distant friends be delivered smoothly?	The goods were successfully delivered the next day without any damage.	The hexagram of Demons changes and regenerates, indicating that although there are twists and turns along the way, things are generally smooth. The ruling line is quiet and under the auspicious month, representing that the inquirer's mindset is relatively peaceful.	40	57	yi	70.0	mao	shen
41	0	Will the younger brother win the lawsuit?	The feedback concluded with the lawsuit being settled, without a complete victory.	The Demons line is strong and active, overcoming the self line, indicating that litigation will be quite difficult. The self line is static and changes to retreat, representing that the querent or family members find it difficult to control the situation.	6	44	wu	82.0	xu	shen
42	0	Is it suitable to invest in stocks in the near future?	Feedback on recent investment losses, deciding to suspend operations.	The Wife and Wealth line is in harmony with the month's establishment and is prosperous but is restrained by the Sibling line, indicating great market fluctuations. It is advised to observe and not rush into action.	29	33	geng	69.0	yin	chen
43	0	Is the mother's health seriously impaired?	The feedback reports that the mother sought medical treatment due to discomfort in the waist, and her recovery was relatively quick. 	The primary line of Parents transforms into prosperity, but encountering a day break indicates a slight issue with the body. The self line receiving support from the month suggests there is no impact on overall health.	58	39	yi	133.0	you	wu
44	0	Will the financial luck this year be smooth?	"
Mid-year financial luck is sluggish, but it gradually improves by the end of the year."	The Wife and Wealth line is not visible, and the Sibling line is vigorous and moving, indicating that financial pressure is quite high this year. You need to control expenses and avoid excessive investments.	12	16	ren	87.0	xu	shen
45	0	Can I successfully find a new job?	Feedback is that a job has been found, but the starting salary is low, so it's decided to accept it temporarily.	The demonic line is prosperous and active, indicating an active job-seeking attitude and a considerable opportunity. The wealth line transforms and retreats, suggesting that the salary level may fall short of expectations.	14	18	ren	112.0	wu	wei
46	0	Can cooperation between friends continue?	The feedback cooperation is temporarily put on hold, and actions should be taken only after relationships are adjusted.	The Sibling line is prosperous and active, clashing with the Wealth line, indicating potential disagreements in the collaboration. The self line is supported by the Wealth line, showing that the querent hopes to continue the collaboration.	51	20	geng	119.0	yin	wei
48	0	Can the company successfully complete the financing?	The feedback on the financing was successful, but the process took longer than expected and ultimately met expectations.	The Wife and Wealth line with the soil of Wei is prosperous and moving, indicating a clear demand for funds, but the Sibling line changes to retreat, showing a lack of execution ability. The self line is static, receiving support from the lunar build, indicating that while the financing process is slow, it is hopeful for completion.	43	17	ding	120.0	you	wei
49	1	Can the valuable item lost at home be found?	The feedback ultimately found the lost item in the garage.	The spirit is hidden in the line of the world, indicating that the item has not yet left home, but is concealed rather deeply. The wealth line does not appear, suggesting that you need to carefully recall the last place it was used.	23	16	yi	58.0	mao	si
50	1	When will distant relatives visit?	The relatives arrived at the time of shen, slightly later than expected.	The line remains static and transforms into retreat, indicating that the inquirer has strong feelings of anxiety. The Parents line, active and under the influence of the day's structure, suggests a slight delay in the relatives' journey.	12	30	jia	72.0	zi	wu
51	0	Will the child be able to get into his ideal school?	Feedback ultimately admitted to the target school, but the grades were slightly lower than expected.	The Children line is active and flourishing, indicating a solid foundation in academic studies with considerable promise. The Demons line at the responding line generates the host, representing the inquirer's high expectations for their children's academic pursuits.	9	42	jia	100.0	xu	shen
52	0	Is it suitable to move in the near future?	The feedback post-relocation was adapted well, but the process was slightly cumbersome.	The use of the Parents line transforming into emptiness indicates that the timing for relocation is not yet mature. The wealth line is vigorous, indicating that the new environment is beneficial to career development.	40	41	wu	87.0	shen	wei
53	0	Is it possible to successfully sign the cooperation agreement?	The feedback agreement was successfully signed, establishing a stable cooperative relationship.	The Wife and Wealth line is strong and active, transforming into advance, indicating significant potential in the partnership project. The host line gains assistance from the response line, suggesting mutual benefits and smooth cooperation for both parties.	22	33	xin	95.0	hai	wu
55	0	Ask whether the son's job will be stable?	Feedback on the son's work stability indicates that he needs to work hard to adapt to the new environment.	The Demons line is strong and moving, representing that there is certain pressure at work, but it is generally controllable. The main line is static and in the prosperous month, indicating that the one consulting is relatively satisfied with their son's work.	32	19	ding	106.0	you	si
56	0	Can I successfully strive for a promotion opportunity?	Feedback on the promotion opportunity was present, but due to limitations in the quota, it was not successful. (Hexagram Case Study 100 Examples 2)	The Demons line is flourishing and active, generating the self line, indicating that leaders have recognition for the inquirer. The Wife and Wealth line is static and transforms into advancement, showing there is hope for promotion, but patience is required.	11	13	geng	147.0	wu	zi
57	0	Can the conflicts within the family be resolved?	Feedback for family issues gradually alleviates, and the atmosphere returns to peace.	The worldly line is strong and active, indicating the querent's willingness to resolve the issue. The significator sibling line transforms into advance, showing that the conflict stems from insufficient communication, but it can be reconciled.	38	37	yi	85.0	mao	shen
58	0	Can the payment for the house be made smoothly?	Feedback indicates the house payment was smoothly completed, and the procedures were unimpeded.	The Wife and Wealth line is flourishing and active, and it aligns with the World line, indicating sufficient payment ability. The World line transforms to generate itself again, suggesting that the inquirer has some concerns about the subsequent process, but the issue is not significant.	45	44	yi	95.0	you	wei
61	0	Can the household pet be found?	The feedback found the pet at the neighbor's house two days later. (One Hundred Practical Examplars of Hexagrams, Case 2)	The line of Children is active and strong, indicating that the pet is still nearby. The self line is supported by the Wife and Wealth line, suggesting that the querent needs to actively search.	18	19	geng	121.0	yin	wei
62	0	Is it suitable to collaborate with the other party?	Feedback at the initial stage of cooperation was smooth, but some minor friction occurred midway, which was later adjusted and resolved.	"The Wife and Wealth line is prosperous and transforms to advance, indicating the potential for cooperation.  
The Sibling line transforms to withdraw, suggesting the need for a clear division of labor to avoid conflicts of interest."	21	22	yi	136.0	chou	wu
63	0	Will there be a breakthrough in financial fortune in the coming year?	The financial fortune at the beginning of the year is average, with investment returns in the middle of the year leading to a significant increase in income.	The wealth line is active and prosperous, transforming and advancing, indicating a relatively good financial opportunity. The situation line is strong and supports the useful spirit, suggesting that the querent needs to actively strive for a breakthrough in financial luck.	34	36	xin	157.0	wei	wu
64	0	Is it possible to reconcile with family?	Feedback on family relationships is gradually easing, and both parties are rebuilding trust.	The Sibling line is flourishing and moves to generate the Self line, which indicates that the emotions among family members can gradually be repaired. The Self line is supported by the moon, suggesting that reconciliation requires time, but overall it is achievable.	37	41	jia	92.0	xu	wei
65	0	Is it possible to successfully complete studies?	Feedback indicates the successful completion of studies with excellent results. (Examples of Practical Divination with Six Lines, 100 Cases 2)	The Children line is flourishing and moving, indicating that the seeker's academic pursuits have a solid foundation. The Demons line transforms and returns to life, showing that the key to academic success lies in perseverance and effort.	9	42	yi	142.0	you	chen
66	0	Is it suitable to start a business in the near future?	Feedback on starting a business shows success, but initially encountered some difficulties, which gradually stabilized later.	The wealth line is flourishing and active, benefiting the situation for starting a business. The line representing oneself is static, reminding the inquirer to make thorough preparations to minimize risks.	50	51	xin	125.0	si	wu
67	0	Can the lost documents be recovered?	The feedback document was unexpectedly found while organizing the desk. (Sixty-four Hexagrams Practical Examples 100 Cases Part 2)	The useful spirit is concealed in the line of the world, indicating the document is still nearby but not easy to detect. The wealth line is in void, suggesting that it is necessary to wait for the right opportunity to retrieve it.	48	46	ding	130.0	mao	wu
68	0	Will there be unexpected wealth in the household?	At the end of the year, a long-overdue debt was finally repaid.	The line of Wife and Wealth being prosperous indicates that there is a chance of unexpected wealth within the family. The self line is calm and generates the useful spirit, showing that the inquirer is quite hopeful about this.	14	19	yi	63.0	chou	wu
69	0	Can the application for a loan be successfully approved?	Feedback on loan application has been approved smoothly, and the funds have been received on time. (64 hexagrams practical examples 100 case studies 2)	The Wife and Wealth line is prosperous and active, transforming positively, indicating a high success rate for the loan application. The ruler line is still, suggesting the querent needs to pay attention to details in the process.	21	40	geng	151.0	wu	chen
70	0	Can I pass the important exam?	Feedback: The examination was successfully passed with excellent results.	The line representing Children is thriving and active, indicating that the inquirer has a substantial foundational preparation for the examination. The line representing Demons is still, signifying that the difficulty of the exam is moderate, and performing as usual should suffice.	13	22	geng	73.0	chen	wei
71	0	Can the project be successfully completed?	The feedback project was successfully completed and received customer praise.	The world line is flourishing and transforming into progress, indicating that the inquirer is full of confidence in the project. The financial line is prosperous and strong, showing that the project has ample resources and a higher probability of success.	42	9	jia	77.0	zi	wei
73	0	Will it be possible to successfully attend the important meeting?	Participate in feedback meetings successfully and achieve target outcomes.	The Demons line is quiet, indicating the meeting process is smooth, but details need attention. The self line receives support from the month, suggesting the querent will be able to make an impression in the meeting.	16	18	geng	74.0	chen	wei
74	0	Is it possible to reach a consensus with the collaborators?	Feedback cooperation has been achieved, but further refinement of the agreement terms is needed. (100 examples of hexagram application in practice 2)	The line of Wealth is prosperous and active, indicating that partners are quite cooperative in terms of resources. The line of the Querent is static, reminding the diviner to take the initiative in coordination and to push for progress in cooperation.	19	33	geng	149.0	wu	zi
75	0	Is the missing friend safe and sound?	Feedback from a friend indicates safety and no issues. Due to personal reasons, there has been no contact with the diviner.	The useful deity Parents line is static, indicating that friends may be resting or busy. The subject line is supported by the day, suggesting that news will arrive later.	45	47	ding	123.0	you	wei
77	0	Is the sibling's career development going smoothly?	Feedback indicates a steady development in your career, but expenses need to be controlled.	The Demons line is flourishing and active, indicating an upward trend in the Sibling's career. The wealth line is static and transforms to retreat, reminding one of the need to pay attention to financial planning.	37	35	jia	91.0	yin	wei
78	0	Is it suitable to invest in a new project in the near future?	Feedback on the investment's success, with returns exceeding expectations.	The line of wealth is flourishing and transforms auspiciously, indicating that the investment project has a high potential for returns. The principal line is static, reminding one to conduct thorough research before taking action.	14	30	geng	74.0	zi	wu
79	0	Does the marital status need adjustment?	Feedback indicates a harmonious marital relationship, but there have been minor disputes recently.	The Wife and Wealth line is vigorous and moving, indicating a strong foundation of marital affection. The self line is flourishing, suggesting that the querent is satisfied with the marriage, but communication and coordination are needed.	22	12	jia	98.0	xu	wei
80	0	Is it suitable for my child to study abroad?	The implementation of the feedback study abroad program has proceeded smoothly and has been well adapted. (Sixty-four divination case study examples 100)	The Children line is active and prosperous, indicating that the child has the conditions for studying abroad. The host line transforms into a return to life, reminding the inquirer to make proper planning and mental preparation.	30	33	jia	153.0	xu	chen
81	0	Will the father's financial problem be resolved?	Feedback issues gradually alleviated, debt repaid as planned.	The line representing wealth is active, indicating that financial issues can be alleviated. The line representing the seeker is strong, suggesting the seeker needs to take the initiative to assist in coordination.	14	19	yi	61.0	you	wu
82	0	Is it auspicious to move house in the near future?	Feedback indicates the house move was smooth, and the new environment is suitable. (Example 2 of Six-Line Real Combat Hexagrams)	The Parents line is prosperous and active, indicating a favorable opportunity for moving. The subject line is still but receives the assistance of the day's establishment, reminding the inquirer to choose an auspicious day and time.	18	20	ding	128.0	you	wei
83	0	Will it be possible to successfully recover the owed money?	The feedback on the installment repayment of the debt was satisfactory.	The line representing wealth is stable and transforms into advancement, indicating that collecting debts has certain difficulties, but ultimately can succeed. The self line is strong and prosperous, indicating that the inquirer needs to persist in communication.	45	46	geng	71.0	yin	chen
84	0	Is it suitable to look for a job in the near future?	Feedback indicates success in finding a job, but the adaptation period is relatively long.	"The Demons line is vigorous and active, indicating that there are many job opportunities, but the competition is fierce.  
The Wife and Wealth line is static, suggesting a need to focus on long-term development."	13	37	yi	90.0	you	wu
85	0	Is it possible to achieve the goal within the next three months?	Feedback target successfully achieved, efficiency is relatively high. (100 Cases of Practical Hexagram Study 2)	The Wife and Wealth line is flourishing and moving, indicating the goal is likely to be achieved. The generational line is still, reminding the inquirer to maintain firm belief.	42	31	jia	111.0	chen	wei
86	0	Is it suitable to buy a car this year?	Feedback during mid-year vehicle purchase, both the condition and price of the vehicle were satisfactory.	The line of Wife and Wealth is prosperous and active, indicating that the environment for purchasing a vehicle is relatively favorable. The self line receives the mutual support of the supporting line, showing that the querent has a clear plan regarding this.	21	25	yi	105.0	chou	wu
87	0	Can a family business smoothly overcome a difficult period?	The difficulties in feedback gradually ease, and businesses steadily recover.	The Wife and Wealth line is vibrant and changing to retreat, indicating the company resources are tight, but there's hope for a turnaround. The self-line is supported by the moon, indicating that family members are united and working together to overcome difficulties.	50	29	jia	77.0	zi	wu
88	0	Is it suitable to invest jointly with friends in the near future?	The feedback on the partnership investment was initially smooth, but later disputes arose due to financial distribution.	The Wife and Wealth line is strong and active, indicating that the investment project has potential, but care should be taken with the division of labor. The self line is strong and favorable, showing that the seeker holds a positive attitude towards cooperation.	17	22	geng	120.0	chen	wei
89	0	Is the child suitable to participate in the competition in the near future?	Feedback on the child's outstanding performance in the competition and achieving excellent results.	The line of Children is strong and active, indicating that the child has a significant competitive advantage. The transforming energy of the Self line suggests that the inquirer supports the child in participating in the competition.	31	30	jia	99.0	xu	chen
90	0	Is it possible to recover the lost valuable item?	The feedback item was picked up and returned by a neighbor, with no major loss.	"The use spirit Parents line is still, indicating that the item is still in a safe place.  
The Wife and Wealth line is prosperous and active, suggesting there is hope of retrieving the item."	48	25	yi	79.0	chou	wu
91	0	Is it suitable to change houses in the near future?	The feedback for swapping the house was smooth, with both the price and the available properties meeting expectations.	When the Parents line is strong and active, it indicates that there are many options for choosing a house, with good opportunities. When the Wealth line is prosperous, it suggests that the inquirer can act in accordance with the prevailing situation.	14	37	ding	118.0	you	wu
92	0	Are the relatives in distant places healthy and safe?	Feedback indicates that the relatives are in good health and maintain contact with the inquirer.	The Parents element is strong and active, indicating that the relatives' health is generally good. The self-element is strong and favorable, suggesting that the inquirer is quite concerned about this matter.	45	42	geng	96.0	yin	wei
93	0	Is it suitable to purchase large household appliances in the near future?	Feedback on purchasing is smooth, and both product quality and price are satisfactory. (One Hundred Practical Examples of Hexagrams 2)	The Wife and Wealth line is prosperous and transforms auspiciously, indicating a good opportunity for purchasing home appliances. The Situational line is static, reminding the querent to make reasonable choices based on the budget.	40	46	ding	134.0	hai	wu
94	0	Will the friend return the loan on time?	Repaying the loan on time ensures that the relationship between both parties remains unharmed.	The Wife and Wealth line is static, indicating that friends have the intention to repay, but the process is slightly slow. The self line is prosperous, suggesting that the querent needs to actively communicate and coordinate.	19	33	yi	94.0	mao	wu
95	0	Can the new business be smoothly developed?	The feedback business was initially stable, and subsequently gradually expanded in scale.	The wealth line is active and prosperous, indicating potential in new business. The self line receives support from the correspondence line, showing that the inquirer has the ability to advance the business.	25	21	yi	89.0	hai	wu
96	0	Is it suitable to purchase a shop in the near future?	Feedback indicates that leasing was smooth and income was stable after acquiring the shop. (One Hundred Cases of Six Yao Practical Hexagrams 2)	The Wife and Wealth line is flourishing and moving, indicating that shops and markets are stable, and the timing is quite favorable. The World line is static, suggesting that the diviner should carefully assess the price and location.	50	48	jia	143.0	shen	wei
97	0	Is it possible to find the lost watch?	The feedback wristwatch was ultimately found inside the car without any loss. (Sixty-four Hexagrams Practical Example 100 Cases 2)	The Significator hidden in the Self line indicates that the item may be concealed in a familiar place. The Wealth line transforming to retreat suggests that retrieving the watch may require patience.	23	22	yi	130.0	mao	wei
98	0	Will it be possible to successfully sell the property in hand?	Feedback on the successful sale of the property, but the price is slightly lower than expected.	The Wife and Wealth line is prosperous and active, indicating that the market conditions for selling property are quite favorable. The representative line is static and transforms into retreat, suggesting that it may be necessary to lower the price to attract buyers.	14	19	ding	95.0	you	wu
100	0	Does the health condition of the mother need special attention?	The feedback indicates that the mother's recovery was good after seeking medical attention for mild hypertension.	The line of Parents is thriving and active, indicating a reasonably stable foundation of health, but daily maintenance should be observed. The main line is vigorous, showing that the inquirer is quite concerned about the mother's situation.	45	46	yi	113.0	hai	wu
101	0	Is it suitable to participate in an important competition in the near future?	The feedback on the competition performance was stable, but no award was won.	The Children line is active and prosperous, indicating that the competitor is in good condition and competitive. The Wife and Wealth line is static, suggesting that while the competition is important, it is not advisable to excessively pursue the outcome.	13	18	geng	77.0	chen	wei
102	0	Can the child succeed in applying for study abroad?	Feedback on the successful study abroad application, the school's admission notification arrived smoothly.	The Children line is strong and active, indicating that the application conditions are sufficient. The Self line is still, suggesting that the querent needs to pay attention to the details within the application.	25	40	ding	106.0	mao	wu
103	0	Is it suitable to engage in high-risk investments in the near future?	Feedback is that part of the investment was successful, but the risk and return are not proportional, and it is decided to reduce the risk preference.	The Wife and Wealth line is prosperous and active, indicating that investment opportunities are favorable. The World line transforms into retreat, suggesting that the inquirer should exercise caution and avoid seeking something overly ambitious or quick.	14	13	geng	150.0	yin	chen
104	0	Will the child's studies progress smoothly?	Feedback on the academic performance improvement is remarkable, both parents and teachers are satisfied.	The Children line is vibrant and active, indicating that the child's learning foundation is solid and progress is promising. The Demons line transforms auspiciously, showing that assistance or inspiration from benefactors is received during learning.	42	50	jia	104.0	shen	chen
105	0	Can a friend repay the loan on time?	The loan repayment was made on time, without any disputes.	The Wife and Wealth line is static and transforms into advance, indicating that friends have the intention to repay. The self line is prosperous and moving, suggesting that the diviner needs to take the initiative to remind.	19	9	ding	58.0	hai	wu
106	0	Will it be possible to successfully purchase the desired property?	Successfully purchased the property, and the subsequent renovations proceeded smoothly.	When the Parents line is prosperous and active, it indicates that the property conditions are ideal. The World line is still, reminding the seeker to seize the opportunity to avoid missing out.	18	45	yi	87.0	hai	wu
107	0	Is it suitable to travel in the near future?	Feedback on the journey was smooth, and the experience was pleasant. (Sixty-four Hexagrams Practical Application 100 Cases 2)	The Children line is vibrant and moving, indicating a favorable time for travel with a joyful mood. The Position line is prosperous and suggests the need for thorough planning to ensure smooth progress.	30	31	geng	125.0	chen	wei
108	0	Can we successfully handle sudden company issues?	The problem was successfully resolved, and the company returned to normal operations.	The Demons line is prosperous and active, indicating that although the problem is complex, there is the ability to solve it. The self line is prosperous, suggesting that the querent should remain calm and handle things step by step.	9	21	jia	85.0	yin	wu
109	0	Will relatives arrive on time?	Feedback from relatives arrived as planned, with no significant delays.	The Parents line is active and prosperous, indicating that relatives intend to visit on time, though there may be slight delays due to minor matters. The self line is still but supported by the day, signifying that the inquirer need not worry about this.	25	22	geng	71.0	yin	wei
110	0	Is it possible to successfully resolve family conflicts?	Feedback contradictions are gradually resolved, creating a harmonious family atmosphere.	The Sibling line is vibrant and active, indicating good communication among family members. The self line is strong and auspicious, suggesting the inquirer plays a crucial role in resolving conflicts.	37	33	yi	88.0	hai	wu
111	0	Will the company's financial situation improve?	The feedback on the financial situation showed significant improvement in the third quarter, with profits gradually recovering.	"The Wife and Wealth line is prosperous and moving, indicating that financial pressure can gradually ease.  
The self line transforms to auspiciousness, suggesting that the company needs to optimize cost management."	42	41	geng	127.0	yin	wei
112	0	Can the team successfully complete the new task?	Feedback tasks were completed on time, resulting in high customer satisfaction.	The Wealth line is thriving and active, indicating abundant team resources and smooth progress of the plan. The World line is static, suggesting a need to strengthen internal communication and collaboration.	31	40	jia	79.0	zi	wei
113	0	Is it suitable to expand the company's business?	After expanding feedback services, performance growth was significant.	The Wife and Wealth line is prosperous and active, transforming into auspiciousness, indicating that the market environment for business expansion is favorable. The self line is supported by the month, suggesting that the querent needs to focus on the integration of core resources.	50	45	yi	70.0	hai	wu
114	0	Can I successfully find a suitable partner?	Feedback finally found a partner for collaboration, with a stable cooperative relationship.	The line of Demons is active, indicating that the partner's qualifications are excellent. The position of the self-line is static, suggesting that the querent needs to communicate patiently to reach a consensus.	9	22	geng	91.0	chen	wu
116	0	Is it suitable to upgrade the equipment this year?	The feedback indicates that the equipment is running well after the upgrade, significantly improving productivity.	When the Parents line is active and prosperous, it indicates that upgrading equipment will contribute to an increase in production efficiency. The self line is static, suggesting that the inquirer should carefully assess the upgrade costs.	40	33	geng	114.0	yin	wei
117	0	Can we successfully sign the agreement with the other party?	The feedback agreement was successfully signed, and the subsequent cooperation proceeded smoothly.	The Wife and Wealth line is active and prosperous, indicating the agreement's content is beneficial to both parties. The ruling line is supported by the day, suggesting the querent needs to prepare the key terms in advance.	31	30	geng	98.0	yin	wu
118	0	Can the important document submission be completed on time?	The feedback document was submitted on schedule and received approval.	If the Parents line is vigorous and active, it indicates the document submission process is relatively smooth. The Self line is still and transforms into auspiciousness, suggesting that the querent needs to pay attention to detailed verification.	18	14	jia	70.0	shen	wei
120	0	Can a loan be obtained through an assessment?	Feedback on the loan approval was successful, and the funds were credited on time. (One Hundred Cases of Hexagram Practical Application, Example 2)	The line of wealth is prosperous and active, transforming into advancement, indicating that loan application conditions are met, and the review process is relatively smooth. The line of the subject is prosperous and favorable, suggesting that the querent needs to prepare sufficient materials to increase the success rate.	42	25	jia	147.0	zi	wu
121	0	Can a friend successfully change jobs?	The feedback from a friend indicates a successful job change with a salary increase.	The Demons line is vigorous and active, indicating there are more job opportunities, but the competition is intense. The Wife and Wealth line is still but supported by the day, suggesting that friends need to be patient and wait for the right opportunity.	40	41	geng	84.0	chen	wu
122	0	Can the home renovation be successfully completed?	Feedback on the renovation has been completed as planned, and overall, it is satisfactory.	The Parents line is prosperous and active, indicating that the renovation plan will be implemented smoothly. The 'Self' line is static, advising the querent to pay attention to budget control to avoid overspending.	18	22	geng	90.0	yin	wu
123	0	Is it suitable to participate in a joint venture project organized by a friend?	The initial progress of the feedback project was smooth, but the later returns were slightly below expectations.	The Wife and Wealth line is prosperous and active, indicating that the project has a relatively high feasibility. The self-line is quiet and transforms to auspiciousness, suggesting that the inquirer needs to carefully assess the project's risks.	13	9	yi	112.0	hai	wu
125	0	Can the dispute with the client be handled smoothly?	Feedback disputes ultimately resolved, both parties satisfied.	The Demons line is vigorous and active, indicating that the difficulty in handling disputes is quite significant, but there is hope for resolution. The Wealth line is static, suggesting the need for reasonable concessions to reach a consensus.	31	50	ding	62.0	you	wu
